,GradCAM,baseline_1,baseline_2,baseline_3,baseline_4,baseline_5,baseline_6,baseline_7,baseline_8,baseline_9,baseline_10,baseline_11,baseline_12,baseline_13,baseline_14,baseline_15
0.0,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333
0.1,0.8918918918918919,0.8513513513513513,0.8513513513513513,0.8783783783783784,0.8513513513513513,0.8648648648648649,0.8783783783783784,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8513513513513513,0.8513513513513513,0.8783783783783784,0.8648648648648649,0.8648648648648649,0.8783783783783784
0.2,0.8783783783783784,0.8378378378378378,0.8243243243243243,0.8378378378378378,0.8243243243243243,0.8243243243243243,0.8243243243243243,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8243243243243243,0.8243243243243243,0.8378378378378378,0.8378378378378378,0.8243243243243243,0.8243243243243243
0.3,0.7837837837837838,0.8513513513513513,0.8243243243243243,0.8243243243243243,0.8378378378378378,0.8378378378378378,0.8243243243243243,0.8243243243243243,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8243243243243243,0.8378378378378378
0.4,0.6891891891891891,0.8648648648648649,0.8513513513513513,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8513513513513513,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8378378378378378,0.8648648648648649
0.5,0.6351351351351351,0.8513513513513513,0.8513513513513513,0.8513513513513513,0.8513513513513513,0.8513513513513513,0.8513513513513513,0.8513513513513513,0.8513513513513513,0.8513513513513513,0.8513513513513513,0.8513513513513513,0.8513513513513513,0.8513513513513513,0.8513513513513513,0.8513513513513513
0.6,0.43243243243243246,0.8513513513513513,0.8513513513513513,0.8513513513513513,0.8648648648648649,0.8513513513513513,0.8513513513513513,0.8648648648648649,0.8378378378378378,0.8648648648648649,0.8648648648648649,0.8513513513513513,0.8513513513513513,0.8513513513513513,0.8378378378378378,0.8513513513513513
0.7,0.40540540540540543,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.7972972972972973,0.8108108108108109,0.7972972972972973,0.8108108108108109,0.7972972972972973,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.8108108108108109
0.8,0.3783783783783784,0.527027027027027,0.5135135135135135,0.527027027027027,0.527027027027027,0.5405405405405406,0.527027027027027,0.5405405405405406,0.5405405405405406,0.5135135135135135,0.5,0.527027027027027,0.5405405405405406,0.5405405405405406,0.5405405405405406,0.5405405405405406
0.9,0.25675675675675674,0.36486486486486486,0.35135135135135137,0.35135135135135137,0.36486486486486486,0.36486486486486486,0.35135135135135137,0.36486486486486486,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.36486486486486486,0.35135135135135137,0.3783783783783784,0.35135135135135137,0.35135135135135137
1.0,0.24324324324324326,0.33783783783783783,0.33783783783783783,0.35135135135135137,0.33783783783783783,0.32432432432432434,0.33783783783783783,0.33783783783783783,0.35135135135135137,0.33783783783783783,0.33783783783783783,0.32432432432432434,0.35135135135135137,0.33783783783783783,0.33783783783783783,0.35135135135135137
