,DeepLift,baseline_1,baseline_2,baseline_3,baseline_4,baseline_5,baseline_6,baseline_7,baseline_8,baseline_9,baseline_10,baseline_11,baseline_12,baseline_13,baseline_14,baseline_15
0.0,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333
0.1,0.8918918918918919,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054
0.2,0.8513513513513513,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.918918918918919,0.9054054054054054,0.9054054054054054,0.918918918918919,0.9054054054054054,0.9054054054054054,0.918918918918919,0.918918918918919,0.9054054054054054,0.918918918918919,0.9054054054054054
0.3,0.8243243243243243,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.9054054054054054,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919
0.4,0.8243243243243243,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.9054054054054054,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919
0.5,0.7972972972972973,0.8918918918918919,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.918918918918919,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054
0.6,0.7702702702702703,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919
0.7,0.7702702702702703,0.8918918918918919,0.9054054054054054,0.8918918918918919,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.8918918918918919,0.8918918918918919,0.9054054054054054,0.8918918918918919,0.9054054054054054,0.9054054054054054,0.9054054054054054
0.8,0.7972972972972973,0.8648648648648649,0.8648648648648649,0.8783783783783784,0.8648648648648649,0.8783783783783784,0.8648648648648649,0.8918918918918919,0.8648648648648649,0.8783783783783784,0.8648648648648649,0.8648648648648649,0.8918918918918919,0.8783783783783784,0.8783783783783784,0.8648648648648649
0.9,0.7837837837837838,0.8648648648648649,0.8783783783783784,0.8783783783783784,0.8648648648648649,0.8783783783783784,0.8648648648648649,0.8783783783783784,0.8783783783783784,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8783783783783784
1.0,0.7972972972972973,0.8648648648648649,0.8783783783783784,0.8648648648648649,0.8648648648648649,0.8918918918918919,0.8648648648648649,0.8783783783783784,0.8648648648648649,0.8783783783783784,0.8513513513513513,0.8378378378378378,0.8918918918918919,0.8783783783783784,0.8648648648648649,0.8783783783783784
