,Lime,baseline_1,baseline_2,baseline_3,baseline_4,baseline_5,baseline_6,baseline_7,baseline_8,baseline_9,baseline_10,baseline_11,baseline_12,baseline_13,baseline_14,baseline_15
0.0,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333
0.1,0.8513513513513513,0.6756756756756757,0.6621621621621622,0.6756756756756757,0.6621621621621622,0.6621621621621622,0.6756756756756757,0.6621621621621622,0.6756756756756757,0.6756756756756757,0.6756756756756757,0.6756756756756757,0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6621621621621622
0.2,0.8108108108108109,0.6081081081081081,0.6216216216216216,0.6081081081081081,0.6216216216216216,0.5945945945945946,0.5945945945945946,0.6081081081081081,0.6081081081081081,0.5945945945945946,0.6216216216216216,0.5945945945945946,0.5945945945945946,0.6081081081081081,0.581081081081081,0.6081081081081081
0.3,0.8108108108108109,0.581081081081081,0.5945945945945946,0.581081081081081,0.6216216216216216,0.6216216216216216,0.6081081081081081,0.5945945945945946,0.6081081081081081,0.6081081081081081,0.6081081081081081,0.5945945945945946,0.6081081081081081,0.6081081081081081,0.581081081081081,0.6216216216216216
0.4,0.7972972972972973,0.6081081081081081,0.6081081081081081,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.581081081081081,0.6081081081081081,0.5945945945945946,0.6216216216216216,0.5945945945945946,0.5945945945945946,0.6081081081081081,0.581081081081081,0.6081081081081081
0.5,0.8108108108108109,0.6081081081081081,0.6081081081081081,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.6081081081081081,0.6081081081081081,0.581081081081081,0.5945945945945946,0.6081081081081081,0.5945945945945946,0.6081081081081081,0.6081081081081081,0.581081081081081,0.5945945945945946
0.6,0.8108108108108109,0.581081081081081,0.581081081081081,0.5675675675675675,0.5945945945945946,0.5945945945945946,0.6081081081081081,0.5675675675675675,0.5945945945945946,0.581081081081081,0.5945945945945946,0.5945945945945946,0.581081081081081,0.6081081081081081,0.581081081081081,0.581081081081081
0.7,0.7837837837837838,0.6216216216216216,0.581081081081081,0.5945945945945946,0.5675675675675675,0.5945945945945946,0.581081081081081,0.5945945945945946,0.5945945945945946,0.581081081081081,0.5945945945945946,0.581081081081081,0.5945945945945946,0.6081081081081081,0.6216216216216216,0.5945945945945946
0.8,0.7432432432432432,0.5675675675675675,0.581081081081081,0.5675675675675675,0.5945945945945946,0.5945945945945946,0.581081081081081,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.6081081081081081,0.6081081081081081,0.5945945945945946,0.5945945945945946,0.581081081081081,0.5945945945945946
0.9,0.7432432432432432,0.5540540540540541,0.5540540540540541,0.5540540540540541,0.5675675675675675,0.5675675675675675,0.5540540540540541,0.581081081081081,0.5675675675675675,0.5405405405405406,0.5405405405405406,0.5675675675675675,0.5540540540540541,0.5675675675675675,0.5675675675675675,0.5675675675675675
1.0,0.7162162162162162,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5135135135135135,0.5,0.5,0.5135135135135135,0.5135135135135135
